id,label
chr1_endo:156445208-156446608,ReprPCWk
chr1_endo:156446608-156456008,Quies
chr1_endo:156128209-156131009,EnhA1
chr1_endo:156131009-156133609,TxWk
chr1_endo:16187505-16188305,EnhA2
chr1_endo:16182905-16187505,TxWk
chr1_endo:109980378-109981378,EnhA1
chr1_endo:109981378-109983778,TxWk
chr1_endo:109983778-109984178,EnhA1
chr1_endo:109984178-109984578,TssFlnkU
chr1_endo:109984578-109985378,TssA
chr1_endo:30909953-30910153,EnhWk
chr1_endo:30910153-30910753,TxWk
chr1_endo:30910753-30910953,EnhA2
chr1_endo:30910953-30911353,EnhA1
chr1_endo:30911353-30911953,EnhA2
chr1_endo:23635110-23635510,TssFlnkU
chr1_endo:23635510-23637310,TxWk
chr1_endo:23637310-23637710,EnhA2
chr1_endo:23637710-23638110,EnhA1
chr1_endo:23638110-23638910,EnhWk
chr1_endo:156224009-156235609,TxWk
chr1_endo:37680528-37682728,TxWk
chr1_endo:37682728-37686728,Tx
chr1_endo:11883743-11895543,Quies
chr1_endo:24391910-24392310,EnhA2
chr1_endo:110312378-110312778,EnhWk
chr1_endo:110312778-110312978,TssFlnkD
chr1_endo:110312978-110313178,EnhWk
chr1_endo:201788872-201790672,TxWk
chr1_endo:201790672-201791272,Tx
chr1_endo:201791272-201792672,TxWk
chr1_endo:201792672-201793072,EnhA2
chr1_endo:201793072-201794472,TxWk
chr1_endo:201794472-201795672,Tx
chr1_endo:205324472-205325672,EnhA1
chr1_endo:205325672-205335472,Quies
chr1_endo:204126272-204127072,TxWk
chr1_endo:204127072-204127672,EnhWk
chr1_endo:204128672-204128872,EnhA2
chr1_endo:204128872-204129272,EnhA1
chr1_endo:204129272-204129672,TssFlnkU
chr1_endo:204129672-204129872,EnhA1
chr1_endo:204127672-204128672,TxWk
chr1_endo:46524528-46526728,EnhBiv
chr1_endo:46526728-46527128,TssBiv
chr1_endo:46527128-46528728,EnhBiv
chr1_endo:46528728-46530528,ReprPC
chr1_endo:12204743-12214543,Quies
chr1_endo:17236905-17238305,EnhA2
chr1_endo:17238305-17238705,TxWk
chr1_endo:17238705-17239705,EnhA2
chr1_endo:17239705-17240105,EnhA1
chr1_endo:182781865-182783065,EnhWk
chr1_endo:182783065-182787065,ReprPCWk
chr1_endo:39899928-39901328,TssBiv
chr1_endo:39901328-39902528,TssA
chr1_endo:39902528-39902928,TssBiv
chr1_endo:39902928-39904128,ReprPC
chr1_endo:179810665-179814065,ReprPCWk
chr1_endo:179814065-179814265,ReprPC
chr1_endo:179814465-179814665,TssBiv
chr1_endo:179814665-179814865,TssFlnkU
chr1_endo:179814865-179815265,TssA
chr1_endo:179814265-179814465,EnhBiv
chr1_endo:206578268-206583268,Quies
chr1_endo:206583268-206583868,EnhA1
chr1_endo:20151907-20152107,EnhWk
chr1_endo:20152507-20153107,EnhWk
chr1_endo:20153107-20158107,Quies
chr1_endo:20152107-20152507,TssFlnkD
chr1_endo:165592163-165597763,ReprPCWk
chr1_endo:9861342-9874942,TxWk
chr1_endo:116484978-116485378,EnhA1
chr1_endo:207962655-207962855,EnhBiv
chr1_endo:207962855-207963255,TssBiv
chr1_endo:207963255-207963455,TssFlnkU
chr1_endo:207963455-207963855,TssA
chr1_endo:207963855-207964255,TssBiv
chr1_endo:207964255-207964855,EnhBiv
chr1_endo:207960055-207962655,ReprPC
chr1_endo:35725999-35726999,EnhWk
chr1_endo:35726999-35736399,TxWk
chr1_endo:112803978-112804778,EnhA2
chr1_endo:112804778-112805378,TxWk
chr1_endo:112794978-112803978,Quies
chr1_endo:67148917-67149317,EnhWk
chr1_endo:54484127-54486527,ReprPCWk
chr1_endo:54486527-54487127,EnhBiv
chr1_endo:54487127-54487727,TssBiv
