from,to,score
chr22:37538593-37539393,chr22:37568793-37570593,0.06002135975294099
chr22:37568793-37570593,chr22:37538593-37539393,0.06002135975294099
chr22:37538593-37539393,chr22:37564793-37568793,0.06002135975294099
chr22:37564793-37568793,chr22:37538593-37539393,0.06002135975294099
chr22:19970677-19970877,chr22:20005677-20013077,0.05749277010560267
chr22:20005677-20013077,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20013077-20013477,0.05749277010560267
chr22:20013077-20013477,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20013477-20015077,0.05749277010560267
chr22:20013477-20015077,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20079877-20081277,0.05749277010560267
chr22:20079877-20081277,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20081277-20081477,0.05749277010560267
chr22:20081277-20081477,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20081477-20081877,0.05749277010560267
chr22:20081477-20081877,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20081877-20082877,0.05749277010560267
chr22:20081877-20082877,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20082877-20083477,0.05749277010560267
chr22:20082877-20083477,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20083477-20084877,0.05749277010560267
chr22:20083477-20084877,chr22:19970677-19970877,0.05749277010560267
chr22:19970677-19970877,chr22:20084877-20085277,0.05749277010560267
chr22:20084877-20085277,chr22:19970677-19970877,0.05749277010560267
chr22:19974077-19974877,chr22:20005677-20013077,0.05749277010560267
chr22:20005677-20013077,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20013077-20013477,0.05749277010560267
chr22:20013077-20013477,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20013477-20015077,0.05749277010560267
chr22:20013477-20015077,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20079877-20081277,0.05749277010560267
chr22:20079877-20081277,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20081277-20081477,0.05749277010560267
chr22:20081277-20081477,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20081477-20081877,0.05749277010560267
chr22:20081477-20081877,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20081877-20082877,0.05749277010560267
chr22:20081877-20082877,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20082877-20083477,0.05749277010560267
chr22:20082877-20083477,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20083477-20084877,0.05749277010560267
chr22:20083477-20084877,chr22:19974077-19974877,0.05749277010560267
chr22:19974077-19974877,chr22:20084877-20085277,0.05749277010560267
chr22:20084877-20085277,chr22:19974077-19974877,0.05749277010560267
chr22:19970877-19974077,chr22:20005677-20013077,0.05749277010560267
chr22:20005677-20013077,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20013077-20013477,0.05749277010560267
chr22:20013077-20013477,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20013477-20015077,0.05749277010560267
chr22:20013477-20015077,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20079877-20081277,0.05749277010560267
chr22:20079877-20081277,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20081277-20081477,0.05749277010560267
chr22:20081277-20081477,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20081477-20081877,0.05749277010560267
chr22:20081477-20081877,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20081877-20082877,0.05749277010560267
chr22:20081877-20082877,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20082877-20083477,0.05749277010560267
chr22:20082877-20083477,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20083477-20084877,0.05749277010560267
chr22:20083477-20084877,chr22:19970877-19974077,0.05749277010560267
chr22:19970877-19974077,chr22:20084877-20085277,0.05749277010560267
chr22:20084877-20085277,chr22:19970877-19974077,0.05749277010560267
chr22:45997720-45997920,chr22:46112320-46116320,0.05538461752443192
chr22:46112320-46116320,chr22:45997720-45997920,0.05538461752443192
chr22:45997720-45997920,chr22:46116320-46116920,0.05538461752443192
chr22:46116320-46116920,chr22:45997720-45997920,0.05538461752443192
chr22:45997720-45997920,chr22:46116920-46119320,0.05538461752443192
chr22:46116920-46119320,chr22:45997720-45997920,0.05538461752443192
chr22:45997720-45997920,chr22:46119320-46119920,0.05538461752443192
chr22:46119320-46119920,chr22:45997720-45997920,0.05538461752443192
chr22:23539813-23547613,chr22:23591613-23592413,0.05283421369050773
chr22:23591613-23592413,chr22:23539813-23547613,0.05283421369050773
chr22:50625372-50625972,chr22:50690572-50696972,0.051563357170583704
chr22:50690572-50696972,chr22:50625372-50625972,0.051563357170583704
chr22:50625972-50626172,chr22:50690572-50696972,0.051563357170583704
chr22:50690572-50696972,chr22:50625972-50626172,0.051563357170583704
chr22:50627372-50628572,chr22:50690572-50696972,0.051563357170583704
chr22:50690572-50696972,chr22:50627372-50628572,0.051563357170583704
chr22:50628572-50628972,chr22:50690572-50696972,0.051563357170583704
chr22:50690572-50696972,chr22:50628572-50628972,0.051563357170583704
chr22:50628972-50629172,chr22:50690572-50696972,0.051563357170583704
chr22:50690572-50696972,chr22:50628972-50629172,0.051563357170583704
chr22:50626172-50627372,chr22:50690572-50696972,0.051563357170583704
chr22:50690572-50696972,chr22:50626172-50627372,0.051563357170583704
chr22:35428807-35431007,chr22:35575753-35591153,0.05142245833216934
chr22:35575753-35591153,chr22:35428807-35431007,0.05142245833216934
chr22:35428807-35431007,chr22:35465207-35465407,0.05142245833216934
chr22:35465207-35465407,chr22:35428807-35431007,0.05142245833216934
chr22:35428807-35431007,chr22:35465407-35467607,0.05142245833216934
chr22:35465407-35467607,chr22:35428807-35431007,0.05142245833216934
chr22:35428807-35431007,chr22:35467607-35467807,0.05142245833216934
chr22:35467607-35467807,chr22:35428807-35431007,0.05142245833216934
chr22:35428807-35431007,chr22:35467807-35468407,0.05142245833216934
chr22:35467807-35468407,chr22:35428807-35431007,0.05142245833216934
chr22:35428807-35431007,chr22:35622153-35623353,0.05142245833216934
chr22:35622153-35623353,chr22:35428807-35431007,0.05142245833216934
chr22:35428807-35431007,chr22:35623353-35627153,0.05142245833216934
chr22:35623353-35627153,chr22:35428807-35431007,0.05142245833216934
chr22:35431007-35431407,chr22:35575753-35591153,0.05142245833216934
chr22:35575753-35591153,chr22:35431007-35431407,0.05142245833216934
chr22:35431007-35431407,chr22:35465207-35465407,0.05142245833216934
chr22:35465207-35465407,chr22:35431007-35431407,0.05142245833216934
chr22:35431007-35431407,chr22:35465407-35467607,0.05142245833216934
chr22:35465407-35467607,chr22:35431007-35431407,0.05142245833216934
chr22:35431007-35431407,chr22:35467607-35467807,0.05142245833216934
chr22:35467607-35467807,chr22:35431007-35431407,0.05142245833216934
chr22:35431007-35431407,chr22:35467807-35468407,0.05142245833216934
chr22:35467807-35468407,chr22:35431007-35431407,0.05142245833216934
chr22:35431007-35431407,chr22:35622153-35623353,0.05142245833216934
chr22:35622153-35623353,chr22:35431007-35431407,0.05142245833216934
chr22:35431007-35431407,chr22:35623353-35627153,0.05142245833216934
chr22:35623353-35627153,chr22:35431007-35431407,0.05142245833216934
chr22:35431407-35434807,chr22:35575753-35591153,0.05142245833216934
chr22:35575753-35591153,chr22:35431407-35434807,0.05142245833216934
chr22:35431407-35434807,chr22:35465207-35465407,0.05142245833216934
chr22:35465207-35465407,chr22:35431407-35434807,0.05142245833216934
chr22:35431407-35434807,chr22:35465407-35467607,0.05142245833216934
chr22:35465407-35467607,chr22:35431407-35434807,0.05142245833216934
chr22:35431407-35434807,chr22:35467607-35467807,0.05142245833216934
chr22:35467607-35467807,chr22:35431407-35434807,0.05142245833216934
chr22:35431407-35434807,chr22:35467807-35468407,0.05142245833216934
chr22:35467807-35468407,chr22:35431407-35434807,0.05142245833216934
chr22:35431407-35434807,chr22:35622153-35623353,0.05142245833216934
chr22:35622153-35623353,chr22:35431407-35434807,0.05142245833216934
chr22:35431407-35434807,chr22:35623353-35627153,0.05142245833216934
chr22:35623353-35627153,chr22:35431407-35434807,0.05142245833216934
chr22:23174413-23175613,chr22:23279413-23281213,0.0493935529531675
chr22:23279413-23281213,chr22:23174413-23175613,0.0493935529531675
chr22:23174413-23175613,chr22:23282213-23283013,0.0493935529531675
chr22:23282213-23283013,chr22:23174413-23175613,0.0493935529531675
chr22:23174413-23175613,chr22:23281213-23282213,0.0493935529531675
chr22:23281213-23282213,chr22:23174413-23175613,0.0493935529531675
chr22:23175613-23177613,chr22:23279413-23281213,0.0493935529531675
chr22:23279413-23281213,chr22:23175613-23177613,0.0493935529531675
chr22:23175613-23177613,chr22:23282213-23283013,0.0493935529531675
chr22:23282213-23283013,chr22:23175613-23177613,0.0493935529531675
chr22:23175613-23177613,chr22:23281213-23282213,0.0493935529531675
chr22:23281213-23282213,chr22:23175613-23177613,0.0493935529531675
chr22:23177613-23178613,chr22:23279413-23281213,0.0493935529531675
chr22:23279413-23281213,chr22:23177613-23178613,0.0493935529531675
chr22:23177613-23178613,chr22:23282213-23283013,0.0493935529531675
chr22:23282213-23283013,chr22:23177613-23178613,0.0493935529531675
chr22:23177613-23178613,chr22:23281213-23282213,0.0493935529531675
chr22:23281213-23282213,chr22:23177613-23178613,0.0493935529531675
chr22:23178613-23179813,chr22:23279413-23281213,0.0493935529531675
chr22:23279413-23281213,chr22:23178613-23179813,0.0493935529531675
chr22:23178613-23179813,chr22:23282213-23283013,0.0493935529531675
chr22:23282213-23283013,chr22:23178613-23179813,0.0493935529531675
chr22:23178613-23179813,chr22:23281213-23282213,0.0493935529531675
chr22:23281213-23282213,chr22:23178613-23179813,0.0493935529531675
chr22:23179813-23180013,chr22:23279413-23281213,0.0493935529531675
chr22:23279413-23281213,chr22:23179813-23180013,0.0493935529531675
chr22:23179813-23180013,chr22:23282213-23283013,0.0493935529531675
chr22:23282213-23283013,chr22:23179813-23180013,0.0493935529531675
chr22:23179813-23180013,chr22:23281213-23282213,0.0493935529531675
chr22:23281213-23282213,chr22:23179813-23180013,0.0493935529531675
chr22:20154477-20158877,chr22:20282677-20283277,0.04903854319523937
chr22:20282677-20283277,chr22:20154477-20158877,0.04903854319523937
chr22:20154477-20158877,chr22:20283277-20288077,0.04903854319523937
chr22:20283277-20288077,chr22:20154477-20158877,0.04903854319523937
chr22:20158877-20159477,chr22:20282677-20283277,0.04903854319523937
chr22:20282677-20283277,chr22:20158877-20159477,0.04903854319523937
chr22:20158877-20159477,chr22:20283277-20288077,0.04903854319523937
chr22:20283277-20288077,chr22:20158877-20159477,0.04903854319523937
chr22:24939033-24939633,chr22:25039833-25049233,0.04813117227557425
chr22:25039833-25049233,chr22:24939033-24939633,0.04813117227557425
chr22:24939033-24939633,chr22:25049233-25051233,0.04813117227557425
chr22:25049233-25051233,chr22:24939033-24939633,0.04813117227557425
chr22:24934433-24939033,chr22:25039833-25049233,0.04813117227557425
chr22:25039833-25049233,chr22:24934433-24939033,0.04813117227557425
chr22:24934433-24939033,chr22:25049233-25051233,0.04813117227557425
chr22:25049233-25051233,chr22:24934433-24939033,0.04813117227557425
chr22:41398996-41411196,chr22:41513996-41524196,0.045015037773914114
chr22:41513996-41524196,chr22:41398996-41411196,0.045015037773914114
chr22:22955226-22956426,chr22:23126213-23127613,0.043404853014176015
chr22:23126213-23127613,chr22:22955226-22956426,0.043404853014176015
chr22:22956426-22957826,chr22:23126213-23127613,0.043404853014176015
chr22:23126213-23127613,chr22:22956426-22957826,0.043404853014176015
chr22:22957826-22959026,chr22:23126213-23127613,0.043404853014176015
chr22:23126213-23127613,chr22:22957826-22959026,0.043404853014176015
chr22:22959026-22961426,chr22:23126213-23127613,0.043404853014176015
chr22:23126213-23127613,chr22:22959026-22961426,0.043404853014176015
chr22:37309959-37319959,chr22:37454964-37455964,0.04333418095156668
chr22:37454964-37455964,chr22:37309959-37319959,0.04333418095156668
chr22:37309959-37319959,chr22:37456162-37456362,0.04333418095156668
chr22:37456162-37456362,chr22:37309959-37319959,0.04333418095156668
chr22:37309959-37319959,chr22:37512593-37517993,0.04333418095156668
chr22:37512593-37517993,chr22:37309959-37319959,0.04333418095156668
chr22:37309959-37319959,chr22:37517993-37518593,0.04333418095156668
chr22:37517993-37518593,chr22:37309959-37319959,0.04333418095156668
chr22:37309959-37319959,chr22:37518593-37520193,0.04333418095156668
chr22:37518593-37520193,chr22:37309959-37319959,0.04333418095156668
chr22:44698720-44700120,chr22:44736120-44736320,0.04301699280322875
chr22:44736120-44736320,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44736320-44737120,0.04301699280322875
chr22:44736320-44737120,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44737120-44739120,0.04301699280322875
chr22:44737120-44739120,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44739120-44740520,0.04301699280322875
chr22:44739120-44740520,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44754920-44755120,0.04301699280322875
chr22:44754920-44755120,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44755120-44755720,0.04301699280322875
chr22:44755120-44755720,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44755720-44756520,0.04301699280322875
chr22:44755720-44756520,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44756520-44756920,0.04301699280322875
chr22:44756520-44756920,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44756920-44764720,0.04301699280322875
chr22:44756920-44764720,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44783320-44784120,0.04301699280322875
chr22:44783320-44784120,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44784120-44784520,0.04301699280322875
chr22:44784120-44784520,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44784520-44784720,0.04301699280322875
chr22:44784520-44784720,chr22:44698720-44700120,0.04301699280322875
chr22:44698720-44700120,chr22:44777320-44783320,0.04301699280322875
chr22:44777320-44783320,chr22:44698720-44700120,0.04301699280322875
chr22:21573911-21589311,chr22:21614911-21627911,0.04254966237451866
chr22:21614911-21627911,chr22:21573911-21589311,0.04254966237451866
chr22:46367103-46368303,chr22:46539903-46552103,0.041399355762322364
chr22:46539903-46552103,chr22:46367103-46368303,0.041399355762322364
chr22:46367103-46368303,chr22:46408903-46409503,0.041399355762322364
chr22:46408903-46409503,chr22:46367103-46368303,0.041399355762322364
chr22:46360903-46367103,chr22:46539903-46552103,0.041399355762322364
chr22:46539903-46552103,chr22:46360903-46367103,0.041399355762322364
chr22:46360903-46367103,chr22:46408903-46409503,0.041399355762322364
chr22:46408903-46409503,chr22:46360903-46367103,0.041399355762322364
chr22:29197611-29202811,chr22:29243011-29254011,0.03940564378776911
chr22:29243011-29254011,chr22:29197611-29202811,0.03940564378776911
chr22:29202811-29203011,chr22:29243011-29254011,0.03940564378776911
chr22:29243011-29254011,chr22:29202811-29203011,0.03940564378776911
chr22:29203011-29204211,chr22:29243011-29254011,0.03940564378776911
chr22:29243011-29254011,chr22:29203011-29204211,0.03940564378776911
chr22:29204211-29204411,chr22:29243011-29254011,0.03940564378776911
chr22:29243011-29254011,chr22:29204211-29204411,0.03940564378776911
chr22:29204411-29205011,chr22:29243011-29254011,0.03940564378776911
chr22:29243011-29254011,chr22:29204411-29205011,0.03940564378776911
chr22:50250171-50250571,chr22:50341971-50342171,0.03821017737405172
chr22:50341971-50342171,chr22:50250171-50250571,0.03821017737405172
chr22:50250171-50250571,chr22:50342171-50342371,0.03821017737405172
chr22:50342171-50342371,chr22:50250171-50250571,0.03821017737405172
chr22:50250171-50250571,chr22:50342371-50342571,0.03821017737405172
chr22:50342371-50342571,chr22:50250171-50250571,0.03821017737405172
chr22:50250171-50250571,chr22:50342571-50343571,0.03821017737405172
chr22:50342571-50343571,chr22:50250171-50250571,0.03821017737405172
