id,label
chr22:17074710-17083710,ReprPCWk
chr22:17083710-17084510,ReprPC
chr22:17084510-17085110,TssFlnk
chr22:17089710-17102110,TxWk
chr22:17102110-17102510,Tx
chr22:17116710-17117310,EnhWk
chr22:17117310-17117710,EnhA1
chr22:17117710-17117910,EnhWk
chr22:17117910-17119710,ReprPCWk
chr22:17119710-17119910,EnhBiv
chr22:17119910-17120110,TssBiv
chr22:17120110-17120310,EnhBiv
chr22:17120310-17120510,TssBiv
chr22:17120510-17121510,TssFlnk
chr22:17121510-17121710,TssA
chr22:17121710-17121910,TssFlnkU
chr22:17121910-17122510,TssFlnkD
chr22:17122510-17122710,EnhWk
chr22:17137710-17144110,Tx
chr22:17144110-17144910,TxWk
chr22:17160110-17160310,TssFlnk
chr22:17160310-17171110,Quies
chr22:17171110-17171310,TssFlnk
chr22:17171310-17172110,TssA
chr22:17172110-17172310,TssFlnkU
chr22:17172310-17173110,EnhWk
chr22:17199910-17200110,EnhA1
chr22:17200110-17200310,TssFlnkU
chr22:17200310-17200510,TssA
chr22:17200510-17201910,EnhA2
chr22:17201910-17203310,TxWk
chr22:17203310-17203510,EnhWk
chr22:17203510-17204910,ReprPCWk
chr22:17207910-17214510,Quies
chr22:17214510-17214910,EnhA1
chr22:17221710-17232110,Quies
chr22:17235110-17235510,TssA
chr22:17235510-17235910,TssFlnkU
chr22:17235910-17236110,EnhA1
chr22:17236110-17236310,EnhWk
chr22:17236310-17236910,TxWk
chr22:17236910-17237710,EnhWk
chr22:17237710-17243910,TxWk
chr22:17244110-17250510,Quies
chr22:17256110-17256310,EnhWk
chr22:17256310-17256510,EnhA1
chr22:17256510-17256710,EnhWk
chr22:17256710-17257110,EnhA1
chr22:17257110-17257510,TssFlnkU
chr22:17257510-17259310,EnhA1
chr22:17259310-17259510,EnhWk
chr22:17259510-17259910,TxWk
chr22:17259910-17260310,EnhWk
chr22:17260310-17260910,EnhA1
chr22:17260910-17261510,TssFlnkU
chr22:17261510-17261710,EnhA1
chr22:17261710-17263110,TxWk
chr22:17263110-17263910,EnhWk
chr22:17263910-17264710,EnhA1
chr22:17264710-17265110,TssFlnkU
chr22:17265110-17265310,EnhA1
chr22:17265310-17265710,EnhWk
chr22:17265710-17265910,EnhA1
chr22:17265910-17266710,TssFlnkU
chr22:17266710-17268510,EnhA1
chr22:17268510-17270510,EnhWk
chr22:17273510-17275710,TxWk
chr22:17275710-17275910,EnhA2
chr22:17363111-17364311,Quies
chr22:17364501-17366301,Quies
chr22:17366301-17366701,EnhWk
chr22:17366701-17366901,TssFlnkD
chr22:17366901-17367301,TssFlnkU
chr22:17367301-17367901,TssFlnk
chr22:17367901-17369301,TssA
chr22:17384711-17385911,EnhWk
chr22:17385911-17386311,EnhA1
chr22:17386311-17387111,EnhA2
chr22:17387111-17387711,EnhA1
chr22:17387711-17388511,EnhWk
chr22:17388511-17388711,TssFlnkD
chr22:17388711-17390311,TxWk
chr22:17390311-17391511,EnhG1
chr22:17391511-17393711,TxWk
chr22:17393910-17394110,TxWk
chr22:17413553-17418553,TxWk
chr22:17418553-17418953,EnhWk
chr22:17418953-17419353,EnhG1
chr22:17423352-17426152,TxWk
chr22:17426355-17430155,TxWk
chr22:17435756-17436356,EnhWk
chr22:17436356-17437156,TssFlnkU
chr22:17437156-17437356,TssFlnkD
chr22:17437356-17437556,EnhWk
chr22:17437556-17437956,TxWk
chr22:17437956-17438756,EnhWk
chr22:17438756-17443156,TxWk
chr22:17443156-17443356,EnhWk
chr22:17443356-17445356,TxWk
chr22:17450362-17450762,EnhWk
chr22:17450963-17451363,EnhA1
chr22:17451363-17451763,EnhWk
chr22:17451763-17455363,TxWk
chr22:17469958-17470358,TxWk
chr22:17470758-17472158,TxWk
chr22:17472158-17473358,EnhWk
chr22:17473358-17474958,TxWk
chr22:17480562-17480762,Tx
chr22:17480762-17481362,TxWk
chr22:17481362-17481962,Tx
chr22:17482167-17482567,TxWk
chr22:17482768-17491168,TxWk
chr22:17491168-17492368,EnhWk
chr22:17492368-17492568,EnhA1
chr22:17492568-17492768,EnhA2
chr22:17492768-17492968,EnhWk
chr22:17492968-17493168,TxWk
chr22:17493168-17493968,EnhWk
chr22:17493968-17496768,TxWk
chr22:17496768-17512568,Tx
chr22:17531104-17532504,TxWk
chr22:17532711-17536311,TxWk
chr22:17569935-17570135,EnhA2
chr22:17570135-17570735,TxWk
chr22:17570735-17570935,EnhWk
chr22:17570935-17571335,EnhA1
chr22:17571335-17571535,EnhWk
chr22:17571535-17572335,TxWk
chr22:17572736-17574136,TxWk
chr22:17574335-17576535,TxWk
chr22:17579234-17589034,Quies
chr22:17589034-17590834,TxWk
chr22:17613234-17627834,TxWk
chr22:17735434-17742034,TxWk
chr22:17742034-17743034,EnhWk
chr22:17743034-17744034,TxWk
chr22:17744034-17744834,EnhWk
chr22:17779634-17780434,EnhWk
chr22:17780434-17780634,TxWk
chr22:17780634-17781034,EnhWk
chr22:17781034-17786634,TxWk
chr22:17787434-17792634,TxWk
chr22:17792634-17792834,EnhWk
chr22:17862034-17863634,TxWk
chr22:17863634-17864434,Tx
chr22:17864434-17870234,TxWk
chr22:17873234-17883034,ReprPC
chr22:17883034-17885634,TxWk
chr22:17885634-17888834,Tx
chr22:17888834-17894834,TxWk
chr22:17894834-17895634,Tx
chr22:17895634-17903234,TxWk
chr22:17913434-17919234,Quies
chr22:17939834-17941834,TxWk
chr22:17941834-17942034,EnhWk
chr22:17942034-17943434,TxWk
chr22:17943434-17946834,EnhWk
chr22:17946834-17960034,TxWk
chr22:17960034-17960234,EnhWk
chr22:17960234-17964234,TxWk
chr22:17964234-17964634,EnhWk
chr22:17980234-17982034,EnhWk
